investor_id,avg_gap_days,at_risk
INV000119,142.0,True
INV000120,116.0,True
INV000121,133.67,True
INV000122,0.0,False
INV000123,44.75,True
INV000124,86.8,True
INV000125,57.17,True
INV000126,192.5,True
INV000127,131.5,True
INV000128,45.56,True
INV000129,49.1,True
INV000130,38.22,True
INV000131,37.73,True
INV000132,46.12,True
INV000133,73.5,True
INV000134,87.0,True
INV000135,103.33,True
INV000136,0.0,False
INV000137,41.75,True
INV000138,45.36,True
INV000139,0.0,False
INV000140,119.33,True
INV000141,0.0,False
INV000142,0.0,False
INV000143,51.33,True
INV000144,73.0,True
INV000145,55.88,True
INV000146,47.71,True
INV000147,58.0,True
INV000148,46.22,True
INV000149,0.0,False
INV000150,58.0,True
INV000151,66.8,True
INV000152,87.0,True
INV000153,31.44,False
INV000154,59.12,True
INV000155,55.29,True
INV000156,79.83,True
INV000157,0.0,False
INV000158,63.71,True
INV000159,201.0,True
INV000160,71.0,True
INV000161,54.75,True
INV000162,435.0,True
INV000163,47.44,True
INV000164,61.8,True
INV000165,58.88,True
INV000166,83.0,True
INV000167,63.0,True
INV000168,192.0,True
INV000169,41.18,True
INV000170,25.5,False
INV000171,86.67,True
INV000172,100.0,True
INV000173,34.6,False
INV000174,68.29,True
INV000175,45.64,True
INV000176,119.25,True
INV000177,45.8,True
INV000178,230.0,True
INV000179,35.8,True
INV000180,47.86,True
INV000181,52.33,True
INV000182,55.22,True
INV000183,41.55,True
INV000184,0.0,False
INV000185,196.0,True
INV000186,121.0,True
INV000187,0.0,False
INV000188,219.0,True
INV000189,91.6,True
INV000190,65.71,True
INV000191,42.4,True
INV000192,57.0,True
INV000193,58.25,True
INV000194,33.73,False
INV000195,45.78,True
INV000196,56.75,True
INV000197,134.67,True
INV000198,0.0,False
INV000199,64.33,True
INV000200,69.83,True
INV000201,48.67,True
INV000202,174.0,True
INV000203,39.88,True
INV000204,69.0,True
INV000205,48.67,True
INV000206,130.0,True
INV000207,95.0,True
INV000208,0.0,False
INV000209,29.0,False
INV000210,61.88,True
INV000211,61.0,True
INV000212,88.0,True
INV000213,54.0,True
INV000214,52.67,True
INV000215,56.38,True
INV000216,53.0,True
INV000217,46.0,True
INV000218,0.0,False
INV000219,63.0,True
INV000220,80.6,True
INV000221,38.43,True
INV000222,45.6,True
INV000223,49.8,True
INV000224,57.5,True
INV000225,53.71,True
INV000226,69.57,True
INV000227,56.75,True
INV000228,43.45,True
INV000229,46.33,True
INV000230,50.67,True
INV000231,34.1,False
INV000232,205.0,True
INV000233,205.0,True
INV000234,81.17,True
INV000235,42.11,True
INV000236,67.14,True
INV000237,81.5,True
INV000238,52.0,True
INV000239,34.2,False
INV000240,74.0,True
INV000241,40.89,True
INV000242,49.56,True
INV000243,63.0,True
INV000244,34.0,False
INV000245,46.1,True
INV000246,92.33,True
INV000247,0.0,False
INV000248,85.33,True
INV000249,39.0,True
INV000250,0.0,False
INV000251,65.0,True
INV000252,36.78,True
INV000253,458.0,True
INV000254,249.0,True
INV000255,56.0,True
INV000256,38.45,True
INV000257,53.29,True
INV000258,0.0,False
INV000259,44.12,True
INV000260,37.91,True
INV000261,50.44,True
INV000262,34.09,False
INV000263,59.88,True
INV000264,81.5,True
INV000265,43.73,True
INV000266,62.17,True
INV000267,34.45,False
INV000268,43.2,True
INV000269,112.0,True
INV000270,48.8,True
INV000271,93.6,True
INV000272,96.33,True
INV000273,0.0,False
INV000274,89.2,True
INV000275,134.33,True
INV000276,68.4,True
INV000277,0.0,False
INV000278,67.0,True
INV000279,31.55,False
INV000280,40.55,True
INV000281,136.33,True
INV000282,114.0,True
INV000283,46.5,True
INV000284,63.67,True
INV000285,65.5,True
INV000286,79.5,True
INV000287,52.38,True
INV000288,57.12,True
INV000289,39.91,True
INV000290,106.33,True
INV000291,55.62,True
INV000292,35.8,True
INV000293,45.45,True
INV000294,62.33,True
INV000295,48.5,True
INV000296,58.57,True
INV000297,56.62,True
INV000298,74.0,True
INV000299,48.8,True
INV000300,76.5,True
INV000301,45.67,True
INV000302,25.0,False
INV000303,88.4,True
INV000304,53.11,True
INV000305,44.0,True
INV000306,76.0,True
INV000307,75.67,True
INV000308,82.67,True
INV000309,41.55,True
INV000310,41.36,True
INV000311,101.33,True
INV000312,68.43,True
INV000313,126.75,True
INV000314,50.25,True
INV000315,56.75,True
INV000316,77.0,True
INV000317,110.5,True
INV000318,69.57,True
INV000319,55.12,True
INV000320,38.18,True
INV000321,44.27,True
INV000322,143.67,True
INV000323,59.6,True
INV000324,250.0,True
INV000325,113.5,True
INV000326,74.4,True
INV000327,167.67,True
INV000328,29.55,False
INV000329,88.67,True
INV000330,55.62,True
INV000331,47.7,True
INV000332,64.4,True
INV000333,90.2,True
INV000334,26.64,False
INV000335,48.0,True
INV000336,150.0,True
INV000337,69.0,True
INV000338,29.67,False
INV000339,57.11,True
INV000340,25.6,False
INV000341,46.1,True
INV000342,0.0,False
INV000343,126.67,True
INV000344,41.22,True
INV000345,0.0,False
INV000346,52.8,True
INV000347,224.0,True
INV000348,109.67,True
INV000349,45.2,True
INV000350,85.0,True
INV000351,49.57,True
INV000352,64.6,True
INV000353,173.0,True
INV000354,78.17,True
INV000355,0.0,False
INV000356,38.86,True
INV000357,86.25,True
INV000358,88.0,True
INV000359,48.11,True
INV000360,61.12,True
INV000361,46.0,True
INV000362,264.0,True
INV000363,66.0,True
INV000364,63.0,True
INV000365,0.0,False
INV000366,35.14,True
INV000367,42.25,True
INV000368,509.0,True
INV000369,37.71,True
INV000370,93.4,True
INV000371,41.5,True
INV000372,42.89,True
INV000373,145.5,True
INV000374,55.86,True
INV000375,0.0,False
INV000376,106.5,True
INV000377,61.43,True
INV000378,47.0,True
INV000379,112.0,True
INV000380,80.83,True
INV000381,114.0,True
INV000382,70.0,True
INV000383,52.33,True
INV000384,57.83,True
INV000385,69.5,True
INV000386,0.0,False
INV000387,48.0,True
INV000388,47.67,True
INV000389,95.0,True
INV000390,52.43,True
INV000391,0.0,False
INV000392,42.73,True
INV000393,75.33,True
INV000394,44.1,True
INV000395,51.5,True
INV000396,44.64,True
INV000397,87.2,True
INV000398,72.0,True
INV000399,44.6,True
INV000400,34.78,False
INV000401,21.33,False
INV000402,47.0,True
INV000403,43.2,True
INV000404,355.0,True
INV000405,32.5,False
INV000406,16.0,False
INV000407,66.71,True
INV000408,55.5,True
INV000409,125.0,True
INV000410,56.29,True
INV000411,57.4,True
INV000412,38.25,True
INV000413,51.56,True
INV000414,46.4,True
INV000415,52.67,True
INV000416,119.0,True
INV000417,52.17,True
INV000418,55.62,True
INV000419,91.5,True
INV000420,0.0,False
INV000421,80.17,True
INV000422,0.0,False
INV000423,187.5,True
INV000424,100.0,True
INV000425,56.33,True
INV000426,105.0,True
INV000427,41.1,True
INV000428,48.1,True
INV000429,55.57,True
INV000430,94.6,True
INV000431,59.29,True
INV000432,78.33,True
INV000433,66.5,True
INV000434,0.0,False
INV000435,0.0,False
INV000436,58.4,True
INV000437,61.12,True
INV000438,100.33,True
INV000439,34.45,False
INV000440,44.82,True
INV000441,60.71,True
INV000442,145.0,True
INV000443,124.25,True
INV000444,36.6,True
INV000445,46.2,True
INV000446,40.89,True
INV000447,0.0,False
INV000448,100.0,True
INV000449,69.71,True
INV000450,31.0,False
INV000451,33.0,False
INV000452,35.91,True
INV000453,42.0,True
INV000454,93.0,True
INV000455,123.0,True
INV000456,47.4,True
INV000457,41.55,True
INV000458,42.0,True
INV000459,76.75,True
INV000460,43.09,True
INV000461,67.5,True
INV000462,79.0,True
INV000463,43.44,True
INV000464,0.0,False
INV000465,96.0,True
INV000466,48.89,True
INV000467,56.67,True
INV000468,0.0,False
INV000469,38.45,True
INV000470,148.33,True
INV000471,83.75,True
INV000472,195.5,True
INV000473,49.57,True
INV000474,103.5,True
INV000475,218.0,True
INV000476,45.33,True
INV000477,44.67,True
INV000478,30.5,False
INV000479,99.0,True
INV000480,56.62,True
INV000481,52.11,True
INV000482,47.0,True
INV000483,49.3,True
INV000484,0.0,False
INV000485,85.8,True
INV000486,86.0,True
INV000487,76.5,True
INV000488,75.17,True
INV000489,87.0,True
INV000490,115.5,True
INV000491,43.18,True
INV000492,74.33,True
INV000493,38.91,True
INV000494,55.17,True
INV000495,38.55,True
INV000496,54.17,True
INV000497,54.22,True
INV000498,98.67,True
INV000499,58.38,True
INV000500,52.86,True
INV000501,100.5,True
INV000502,0.0,False
INV000503,47.67,True
INV000504,0.0,False
INV000505,82.0,True
INV000506,71.5,True
INV000507,56.38,True
INV000508,124.0,True
INV000509,64.25,True
INV000510,150.0,True
INV000511,62.57,True
INV000512,42.45,True
INV000513,103.0,True
INV000514,43.14,True
INV000515,189.5,True
INV000516,340.0,True
INV000517,119.0,True
INV000518,217.0,True
INV000519,74.2,True
INV000520,68.2,True
INV000521,43.25,True
INV000522,45.82,True
INV000523,53.11,True
INV000524,41.22,True
INV000525,49.14,True
INV000526,44.33,True
INV000527,50.2,True
INV000528,0.0,False
INV000529,41.3,True
INV000530,109.25,True
INV000531,28.4,False
INV000532,48.3,True
INV000533,65.71,True
INV000534,243.0,True
INV000535,97.4,True
INV000536,93.0,True
INV000537,71.0,True
INV000538,36.5,True
INV000539,57.75,True
INV000540,48.4,True
INV000541,56.0,True
INV000542,123.25,True
INV000543,71.71,True
INV000544,62.29,True
INV000545,50.67,True
INV000546,40.0,True
INV000547,43.73,True
INV000548,67.29,True
INV000549,53.44,True
INV000550,111.75,True
INV000551,131.0,True
INV000552,55.11,True
INV000553,60.0,True
INV000554,39.0,True
INV000555,216.5,True
INV000556,41.3,True
INV000557,88.0,True
INV000558,61.43,True
INV000559,107.5,True
INV000560,87.25,True
INV000561,0.0,False
INV000562,62.0,True
INV000563,41.64,True
INV000564,90.0,True
INV000565,153.0,True
INV000566,39.64,True
INV000567,40.55,True
INV000568,39.0,True
INV000569,42.18,True
INV000570,47.1,True
INV000571,0.0,False
INV000572,112.0,True
INV000573,27.73,False
INV000574,100.5,True
INV000575,52.71,True
INV000576,52.75,True
INV000577,43.4,True
INV000578,45.82,True
INV000579,0.0,False
INV000580,49.25,True
INV000581,42.73,True
INV000582,0.0,False
INV000583,51.75,True
INV000584,63.86,True
INV000585,61.12,True
INV000586,44.55,True
INV000587,33.82,False
INV000588,444.0,True
INV000589,47.3,True
INV000590,84.67,True
INV000591,55.29,True
INV000592,99.75,True
INV000593,43.8,True
INV000594,0.0,False
INV000595,53.44,True
INV000596,43.27,True
INV000597,63.29,True
INV000598,93.6,True
INV000599,54.33,True
INV000600,88.8,True
INV000601,32.67,False
INV000602,45.78,True
INV000603,132.67,True
INV000604,42.56,True
INV000605,223.0,True
INV000606,38.27,True
INV000607,50.22,True
INV000608,83.5,True
INV000609,26.09,False
INV000610,0.0,False
INV000611,69.2,True
INV000612,44.82,True
INV000613,82.33,True
INV000614,26.0,False
INV000615,46.12,True
INV000616,61.5,True
INV000617,64.0,True
INV000618,7.0,False
INV000619,26.0,False
INV000620,0.0,False
INV000621,47.11,True
INV000622,89.5,True
INV000623,48.44,True
INV000624,43.75,True
INV000625,41.45,True
INV000626,73.4,True
INV000627,236.5,True
INV000628,304.0,True
INV000629,75.6,True
INV000630,54.25,True
INV000631,41.38,True
INV000632,140.33,True
INV000633,86.2,True
INV000634,41.8,True
INV000635,53.57,True
INV000636,54.4,True
INV000637,64.2,True
INV000638,71.0,True
INV000639,50.8,True
INV000640,0.0,False
INV000641,44.86,True
INV000642,50.2,True
INV000643,51.5,True
INV000644,69.4,True
INV000645,30.0,False
INV000646,37.64,True
INV000647,105.67,True
INV000648,65.33,True
INV000649,52.22,True
INV000650,108.5,True
INV000651,70.86,True
INV000652,43.36,True
INV000653,164.0,True
INV000654,91.4,True
INV000655,132.0,True
INV000656,62.33,True
INV000657,50.33,True
INV000658,47.38,True
INV000659,125.0,True
INV000660,42.0,True
INV000661,60.43,True
INV000662,46.3,True
INV000663,94.4,True
INV000664,46.71,True
INV000665,29.64,False
INV000666,62.17,True
INV000667,43.55,True
INV000668,127.0,True
INV000669,128.67,True
INV000670,50.5,True
INV000671,38.73,True
INV000672,37.0,True
INV000673,92.8,True
INV000674,30.5,False
INV000675,36.64,True
INV000676,32.09,False
INV000677,151.0,True
INV000678,38.0,True
INV000679,82.25,True
INV000680,161.5,True
INV000681,137.5,True
INV000682,96.6,True
INV000683,50.6,True
INV000684,111.5,True
INV000685,11.0,False
INV000686,203.0,True
INV000687,88.5,True
INV000688,44.5,True
INV000689,46.71,True
INV000690,45.91,True
INV000691,52.89,True
INV000692,0.0,False
INV000693,44.33,True
INV000694,82.5,True
INV000695,63.29,True
INV000696,104.67,True
INV000697,0.0,False
INV000698,38.0,True
INV000699,36.43,True
INV000700,60.5,True
INV000701,50.2,True
INV000702,143.5,True
INV000703,84.0,True
INV000704,50.62,True
INV000705,114.33,True
INV000706,54.5,True
INV000707,45.0,True
INV000708,66.0,True
INV000709,39.55,True
INV000710,73.83,True
INV000711,60.0,True
INV000712,0.0,False
INV000713,87.67,True
INV000714,26.91,False
INV000715,55.33,True
INV000716,192.0,True
INV000717,77.67,True
INV000718,38.56,True
INV000719,40.73,True
INV000720,70.71,True
INV000721,78.0,True
INV000722,52.12,True
INV000723,86.6,True
INV000724,50.75,True
INV000725,58.0,True
INV000726,69.5,True
INV000727,13.0,False
INV000728,39.12,True
INV000729,109.75,True
INV000730,81.75,True
INV000731,88.0,True
INV000732,42.33,True
INV000733,74.5,True
INV000734,46.3,True
INV000735,61.43,True
INV000736,44.33,True
INV000737,66.14,True
INV000738,49.57,True
INV000739,60.71,True
INV000740,223.0,True
INV000741,65.71,True
INV000742,83.0,True
INV000743,105.33,True
INV000744,28.22,False
INV000745,88.8,True
INV000746,60.5,True
INV000747,45.7,True
INV000748,89.67,True
INV000749,40.45,True
INV000750,35.36,True
INV000751,42.4,True
INV000752,78.67,True
INV000753,50.67,True
INV000754,44.7,True
INV000755,66.17,True
INV000756,78.0,True
INV000757,83.4,True
INV000758,50.44,True
INV000759,49.8,True
INV000760,102.67,True
INV000761,49.4,True
INV000762,161.67,True
INV000763,0.0,False
INV000764,57.57,True
INV000765,43.0,True
INV000766,118.33,True
INV000767,94.2,True
INV000768,38.18,True
INV000769,76.67,True
INV000770,24.5,False
INV000771,94.0,True
INV000772,36.36,True
INV000773,0.0,False
INV000774,55.25,True
INV000775,99.25,True
INV000776,42.1,True
INV000777,47.14,True
INV000778,48.1,True
INV000779,40.36,True
INV000780,0.0,False
INV000781,96.25,True
INV000782,35.4,True
INV000783,44.36,True
INV000784,62.43,True
INV000785,38.9,True
INV000786,57.0,True
INV000787,0.0,False
INV000788,52.5,True
INV000789,44.33,True
INV000790,0.0,False
INV000791,56.12,True
INV000792,271.0,True
INV000793,48.4,True
INV000794,0.0,False
INV000795,116.33,True
INV000796,97.67,True
INV000797,117.0,True
INV000798,0.0,False
INV000799,80.83,True
INV000800,108.5,True
INV000801,110.33,True
INV000802,44.5,True
INV000803,57.88,True
INV000804,92.2,True
INV000805,0.0,False
INV000806,34.09,False
INV000807,3.0,False
INV000808,138.67,True
INV000809,105.0,True
INV000810,38.0,True
INV000811,58.2,True
INV000812,0.0,False
INV000813,62.14,True
INV000814,78.33,True
INV000815,88.67,True
INV000816,74.75,True
INV000817,0.0,False
INV000818,122.75,True
INV000819,48.0,True
INV000820,103.5,True
INV000821,44.5,True
INV000822,41.62,True
INV000823,35.44,True
INV000824,140.67,True
INV000825,70.0,True
INV000826,74.5,True
INV000827,45.33,True
INV000828,429.0,True
INV000829,58.88,True
INV000830,44.44,True
INV000831,54.0,True
INV000832,83.67,True
INV000833,56.44,True
INV000834,88.0,True
INV000835,0.0,False
INV000836,70.67,True
INV000837,209.0,True
INV000838,98.33,True
INV000839,189.5,True
INV000840,62.88,True
INV000841,71.33,True
INV000842,0.0,False
INV000843,35.8,True
INV000844,44.11,True
INV000845,46.5,True
INV000846,90.5,True
INV000847,26.9,False
INV000848,132.0,True
INV000849,47.2,True
INV000850,28.6,False
INV000851,53.38,True
INV000852,110.75,True
INV000853,40.36,True
INV000854,54.44,True
INV000855,152.67,True
INV000856,55.0,True
INV000857,52.12,True
INV000858,35.9,True
INV000859,132.0,True
INV000860,47.44,True
INV000861,54.88,True
INV000862,59.62,True
INV000863,0.0,False
INV000864,42.0,True
INV000865,40.4,True
INV000866,141.0,True
INV000867,69.25,True
INV000868,0.0,False
INV000869,37.22,True
INV000870,70.4,True
INV000871,0.0,False
INV000872,0.0,False
INV000873,49.0,True
INV000874,45.18,True
INV000875,51.0,True
INV000876,37.0,True
INV000877,37.12,True
INV000878,66.0,True
INV000879,85.0,True
INV000880,84.8,True
INV000881,37.73,True
INV000882,0.0,False
INV000883,257.0,True
INV000884,81.0,True
INV000885,87.0,True
INV000886,100.0,True
INV000887,40.6,True
INV000888,60.25,True
INV000889,263.0,True
INV000890,43.33,True
INV000891,55.0,True
INV000892,77.0,True
INV000893,45.38,True
INV000894,43.55,True
INV000895,63.57,True
INV000896,173.0,True
INV000897,64.25,True
INV000898,164.0,True
INV000899,171.0,True
INV000900,92.25,True
INV000901,45.17,True
INV000902,43.11,True
INV000903,0.0,False
INV000904,98.5,True
INV000905,0.0,False
INV000906,36.8,True
INV000907,40.5,True
INV000908,64.25,True
INV000909,82.8,True
INV000910,88.25,True
INV000911,0.0,False
INV000912,41.5,True
INV000913,76.33,True
INV000914,55.5,True
INV000915,78.2,True
INV000916,0.0,False
INV000917,0.0,False
INV000918,151.5,True
INV000919,58.5,True
INV000920,47.25,True
INV000921,76.2,True
INV000922,75.0,True
INV000923,0.0,False
INV000924,0.0,False
INV000925,59.57,True
INV000926,57.14,True
INV000927,25.5,False
INV000928,9.0,False
INV000929,39.67,True
INV000930,23.91,False
INV000931,49.29,True
INV000932,239.0,True
INV000933,55.38,True
INV000934,60.0,True
INV000935,24.7,False
INV000936,0.0,False
INV000937,165.0,True
INV000938,153.0,True
INV000939,45.0,True
INV000940,94.67,True
INV000941,95.0,True
INV000942,39.64,True
INV000943,129.33,True
INV000944,68.4,True
INV000945,0.0,False
INV000946,60.0,True
INV000947,64.29,True
INV000948,52.0,True
INV000949,40.5,True
INV000950,48.6,True
INV000951,0.0,False
INV000952,0.0,False
INV000953,110.0,True
INV000954,56.33,True
INV000955,107.25,True
INV000956,0.0,False
INV000957,52.57,True
INV000958,90.6,True
INV000959,45.12,True
INV000960,60.88,True
INV000961,113.75,True
INV000962,57.57,True
INV000963,92.25,True
INV000964,98.0,True
INV000965,0.0,False
INV000966,39.18,True
INV000967,47.0,True
INV000968,48.62,True
INV000969,48.33,True
INV000970,45.4,True
INV000971,36.0,True
INV000972,38.1,True
INV000973,55.0,True
INV000974,63.0,True
INV000975,44.0,True
INV000976,100.0,True
INV000977,39.91,True
INV000978,46.83,True
INV000979,59.43,True
INV000980,36.78,True
INV000981,30.4,False
INV000982,42.0,True
INV000983,94.33,True
INV000984,44.5,True
INV000985,73.2,True
INV000986,45.62,True
INV000987,59.0,True
INV000988,66.71,True
INV000989,83.0,True
INV000990,99.75,True
INV000991,169.0,True
INV000992,83.2,True
INV000993,0.0,False
INV000994,40.18,True
INV000995,21.88,False
INV000996,30.0,False
INV000997,55.14,True
INV000998,52.67,True
INV000999,47.14,True
INV001000,16.0,False
INV001001,40.55,True
INV001002,46.44,True
INV001003,71.0,True
INV001004,62.0,True
INV001005,46.8,True
INV001006,93.0,True
INV001007,52.0,True
INV001008,48.62,True
INV001009,42.33,True
INV001010,0.0,False
INV001011,99.4,True
INV001012,32.4,False
INV001013,53.78,True
INV001014,77.67,True
INV001015,36.0,True
INV001016,113.33,True
INV001017,68.5,True
INV001018,49.5,True
INV001019,35.9,True
INV001020,53.83,True
INV001021,45.78,True
INV001022,79.25,True
INV001023,46.09,True
INV001024,51.29,True
INV001025,32.57,False
INV001026,47.8,True
INV001027,70.57,True
INV001028,105.75,True
INV001029,46.9,True
INV001030,223.0,True
INV001031,48.2,True
INV001032,0.0,False
INV001033,282.0,True
INV001034,69.17,True
INV001035,0.0,False
INV001036,54.67,True
INV001037,42.6,True
INV001038,98.0,True
INV001039,47.88,True
INV001040,98.33,True
INV001041,71.14,True
INV001042,49.5,True
INV001043,71.0,True
INV001044,136.0,True
INV001045,71.14,True
INV001046,142.33,True
INV001047,55.67,True
INV001048,35.27,True
INV001049,69.67,True
INV001050,101.0,True
INV001051,37.9,True
INV001052,87.25,True
INV001053,51.67,True
INV001054,183.0,True
INV001055,51.78,True
INV001056,153.33,True
INV001057,108.67,True
INV001058,44.82,True
INV001059,138.0,True
INV001060,38.82,True
INV001061,40.9,True
INV001062,52.5,True
INV001063,30.73,False
INV001064,43.27,True
INV001065,87.0,True
INV001066,153.67,True
INV001067,41.67,True
INV001068,99.2,True
INV001069,35.2,True
INV001070,44.09,True
INV001071,124.67,True
INV001072,128.0,True
INV001073,7.0,False
INV001074,44.71,True
INV001075,51.0,True
INV001076,149.0,True
INV001077,46.75,True
INV001078,0.0,False
INV001079,46.1,True
INV001080,52.14,True
INV001081,79.0,True
INV001082,113.67,True
INV001083,43.25,True
INV001084,0.0,False
INV001085,155.0,True
INV001086,106.5,True
INV001087,63.5,True
INV001088,74.33,True
INV001089,11.0,False
INV001090,0.0,False
INV001091,71.8,True
INV001092,42.18,True
INV001093,57.88,True
INV001094,77.5,True
INV001095,244.0,True
INV001096,51.89,True
INV001097,58.0,True
INV001098,0.0,False
INV001099,31.9,False
INV001100,0.0,False
INV001101,85.4,True
INV001102,50.67,True
INV001103,47.57,True
INV001104,156.0,True
INV001105,407.0,True
INV001106,121.0,True
INV001107,90.33,True
INV001108,118.33,True
INV001109,90.4,True
INV001110,100.0,True
INV001111,96.6,True
INV001112,40.0,True
INV001113,48.5,True
INV001114,406.0,True
INV001115,45.78,True
INV001116,42.27,True
INV001117,54.0,True
INV001118,49.0,True
INV001119,109.0,True
INV001120,72.0,True
INV001121,89.67,True
INV001122,251.0,True
INV001123,56.75,True
INV001124,79.67,True
INV001125,0.0,False
INV001126,79.0,True
INV001127,149.33,True
INV001128,44.2,True
INV001129,0.0,False
INV001130,46.6,True
INV001131,53.89,True
INV001132,0.0,False
INV001133,41.6,True
INV001134,404.0,True
INV001135,0.0,False
INV001136,44.0,True
INV001137,34.3,False
INV001138,50.5,True
INV001139,213.0,True
INV001140,56.57,True
INV001141,69.71,True
INV001142,49.5,True
INV001143,85.0,True
INV001144,64.4,True
INV001145,23.0,False
INV001146,0.0,False
INV001147,49.5,True
INV001148,85.0,True
INV001149,125.33,True
INV001150,87.67,True
INV001151,205.5,True
INV001152,46.6,True
INV001153,0.0,False
INV001154,124.25,True
INV001155,69.14,True
INV001156,56.89,True
INV001157,33.64,False
INV001158,112.0,True
INV001159,197.5,True
INV001160,52.75,True
INV001161,57.57,True
INV001162,301.0,True
INV001163,43.55,True
INV001164,117.33,True
INV001165,57.5,True
INV001166,54.0,True
INV001167,96.2,True
INV001168,76.17,True
INV001169,150.67,True
INV001170,49.12,True
INV001171,92.0,True
INV001172,139.33,True
INV001173,55.83,True
INV001174,58.75,True
INV001175,78.67,True
INV001176,40.5,True
INV001177,0.0,False
INV001178,43.55,True
INV001179,115.0,True
INV001180,61.86,True
INV001181,59.0,True
INV001182,71.0,True
INV001183,55.8,True
INV001184,0.0,False
INV001185,50.12,True
INV001186,44.57,True
INV001187,0.0,False
INV001188,35.0,False
INV001189,46.57,True
INV001190,80.83,True
INV001191,79.33,True
INV001192,81.4,True
INV001193,54.33,True
INV001194,80.33,True
INV001195,34.27,False
INV001196,92.2,True
INV001197,49.88,True
INV001198,48.4,True
INV001199,210.5,True
INV001200,354.0,True
INV001201,0.0,False
INV001202,50.75,True
INV001203,225.0,True
INV001204,75.83,True
INV001205,83.5,True
INV001206,38.0,True
INV001207,50.83,True
INV001208,37.33,True
INV001209,42.25,True
INV001210,26.82,False
INV001211,197.5,True
INV001212,45.14,True
INV001213,53.89,True
INV001214,112.33,True
INV001215,97.0,True
INV001216,181.0,True
INV001217,39.09,True
INV001218,49.25,True
INV001219,36.9,True
INV001220,57.88,True
INV001221,64.57,True
INV001222,68.6,True
INV001223,42.5,True
INV001224,40.57,True
INV001225,53.12,True
INV001226,157.0,True
INV001227,39.7,True
INV001228,43.18,True
INV001229,146.0,True
INV001230,44.33,True
INV001231,0.0,False
INV001232,87.8,True
INV001233,55.5,True
INV001234,40.73,True
INV001235,47.2,True
INV001236,73.33,True
INV001237,81.67,True
INV001238,37.36,True
INV001239,0.0,False
INV001240,176.0,True
INV001241,33.0,False
INV001242,47.33,True
INV001243,0.0,False
INV001244,34.2,False
INV001245,80.75,True
INV001246,80.0,True
INV001247,44.33,True
INV001248,0.0,False
INV001249,71.6,True
INV001250,82.2,True
INV001251,54.25,True
INV001252,0.0,False
INV001253,0.0,False
INV001254,108.0,True
INV001255,70.8,True
INV001256,136.67,True
INV001257,52.44,True
INV001258,58.0,True
INV001259,43.82,True
INV001260,68.33,True
INV001261,55.5,True
INV001262,50.86,True
INV001263,146.0,True
INV001264,44.86,True
INV001265,57.5,True
INV001266,393.0,True
INV001267,293.0,True
INV001268,0.0,False
INV001269,56.44,True
